29/08 08:41:18:033 OSA Callback started
29/08 08:41:20:344 Starting process session
29/08 08:41:20:889 Total 0 instances are started
29/08 08:41:20:896 Total 1 instances are added
29/08 08:41:22:981 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.31:7676]. - cause: java.net.ConnectException: Connection refused: connect
29/08 08:41:22:982 Consumer was closed, reconnect.
29/08 10:26:12:457 Local queue size: 0
29/08 10:26:22:479 Local queue size: 0
29/08 10:26:32:486 Local queue size: 0
29/08 10:26:42:560 Local queue size: 0
29/08 10:26:52:592 Local queue size: 0
29/08 10:27:02:606 Local queue size: 0
29/08 10:27:12:612 Local queue size: 0
29/08 10:27:22:706 Local queue size: 0
29/08 10:27:32:709 Local queue size: 0
29/08 10:27:42:735 Local queue size: 0
29/08 10:27:52:741 Local queue size: 0
29/08 10:28:02:779 Local queue size: 0
29/08 10:28:12:780 Local queue size: 0
29/08 10:28:22:790 Local queue size: 0
29/08 10:28:32:792 Local queue size: 0
29/08 10:28:42:794 Local queue size: 0
29/08 10:28:52:851 Local queue size: 0
29/08 10:29:02:853 Local queue size: 0
29/08 10:29:12:855 Local queue size: 0
29/08 10:29:22:875 Local queue size: 0
29/08 10:29:32:915 Local queue size: 0
29/08 10:29:42:942 Local queue size: 0
29/08 10:29:52:975 Local queue size: 0
29/08 10:30:02:989 Local queue size: 0
29/08 10:30:12:999 Local queue size: 0
29/08 10:30:23:005 Local queue size: 0
29/08 10:30:33:019 Local queue size: 0
29/08 10:30:43:021 Local queue size: 0
29/08 10:30:53:025 Local queue size: 0
29/08 10:31:03:041 Local queue size: 0
29/08 10:31:13:052 Local queue size: 0
29/08 10:31:23:054 Local queue size: 0
29/08 10:31:33:074 Local queue size: 0
29/08 10:31:43:079 Local queue size: 0
29/08 10:31:53:098 Local queue size: 0
29/08 10:32:03:116 Local queue size: 0
29/08 10:32:13:118 Local queue size: 0
29/08 10:32:23:127 Local queue size: 0
29/08 10:32:33:132 Local queue size: 0
29/08 10:32:43:137 Local queue size: 0
29/08 10:32:53:141 Local queue size: 0
29/08 10:33:03:148 Local queue size: 0
29/08 10:33:13:202 Local queue size: 0
29/08 10:33:23:212 Local queue size: 0
29/08 10:33:33:221 Local queue size: 0
29/08 10:33:43:233 Local queue size: 0
29/08 10:33:53:238 Local queue size: 0
29/08 10:34:03:244 Local queue size: 0
29/08 10:34:13:254 Local queue size: 0
29/08 10:34:23:308 Local queue size: 0
29/08 10:34:33:319 Local queue size: 0
29/08 10:34:43:325 Local queue size: 0
29/08 10:34:53:327 Local queue size: 0
29/08 10:35:03:328 Local queue size: 0
29/08 10:35:13:362 Local queue size: 0
29/08 10:35:23:369 Local queue size: 0
29/08 10:35:33:377 Local queue size: 0
29/08 10:35:43:400 Local queue size: 0
29/08 10:35:53:459 Local queue size: 0
29/08 10:36:03:466 Local queue size: 0
29/08 10:36:13:478 Local queue size: 0
29/08 10:36:23:492 Local queue size: 0
29/08 10:36:33:495 Local queue size: 0
29/08 10:36:43:571 Local queue size: 0
29/08 10:36:53:575 Local queue size: 0
29/08 10:37:03:588 Local queue size: 0
29/08 10:37:13:590 Local queue size: 0
29/08 10:37:23:659 Local queue size: 0
29/08 10:37:33:662 Local queue size: 0
29/08 10:37:43:689 Local queue size: 0
29/08 10:37:53:693 Local queue size: 0
29/08 10:38:03:707 Local queue size: 0
29/08 10:38:13:803 Local queue size: 0
29/08 10:38:23:808 Local queue size: 0
29/08 10:38:33:817 Local queue size: 0
29/08 10:38:43:828 Local queue size: 0
29/08 10:38:53:840 Local queue size: 0
29/08 10:39:03:849 Local queue size: 0
29/08 10:39:13:852 Local queue size: 0
29/08 10:39:23:863 Local queue size: 0
29/08 10:39:33:873 Local queue size: 0
29/08 10:39:43:949 Local queue size: 0
29/08 10:39:53:955 Local queue size: 0
29/08 10:40:03:965 Local queue size: 0
29/08 10:40:13:980 Local queue size: 0
29/08 10:40:23:984 Local queue size: 0
29/08 10:40:34:083 Local queue size: 0
29/08 10:40:44:085 Local queue size: 0
29/08 10:40:54:087 Local queue size: 0
29/08 10:41:04:156 Local queue size: 0
29/08 10:41:14:163 Local queue size: 0
29/08 10:41:24:166 Local queue size: 0
29/08 10:41:34:167 Local queue size: 0
29/08 10:41:44:171 Local queue size: 0
29/08 10:41:54:268 Local queue size: 0
29/08 10:42:04:276 Local queue size: 0
29/08 10:42:14:277 Local queue size: 0
29/08 10:42:24:284 Local queue size: 0
29/08 10:42:34:303 Local queue size: 0
29/08 10:42:44:328 Local queue size: 0
29/08 10:42:54:369 Local queue size: 0
29/08 10:43:04:377 Local queue size: 0
29/08 10:43:14:388 Local queue size: 0
29/08 10:43:24:412 Local queue size: 0
29/08 10:43:34:417 Local queue size: 0
29/08 10:43:44:418 Local queue size: 0
29/08 10:43:54:426 Local queue size: 0
29/08 10:44:04:428 Local queue size: 0
29/08 10:44:14:483 Local queue size: 0
29/08 10:44:24:496 Local queue size: 0
29/08 10:44:34:505 Local queue size: 0
29/08 10:44:44:519 Local queue size: 0
29/08 10:44:54:523 Local queue size: 0
29/08 10:45:04:560 Local queue size: 0
29/08 10:45:14:570 Local queue size: 0
29/08 10:45:24:578 Local queue size: 0
29/08 10:45:34:590 Local queue size: 0
29/08 10:45:44:668 Local queue size: 0
