18/09 08:32:45:082 Command Routing started
18/09 08:32:45:105 Starting process session
18/09 08:32:47:038 Total 0 instances are started
18/09 08:32:47:039 Total 1 instances are added
18/09 08:33:13:888 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.89:7676]. - cause: java.net.ConnectException: Connection timed out: connect
18/09 08:33:13:889 Consumer was closed, reconnect.
18/09 08:33:13:993 Total 0 instances are started
18/09 08:33:13:994 Total 1 instances are added
18/09 08:34:26:996 Command Routing started
18/09 08:34:27:023 Starting process session
18/09 08:34:27:146 Total 0 instances are started
18/09 08:34:27:148 Total 1 instances are added
18/09 08:34:32:099 Close queue connection pool.
18/09 08:34:32:117 End of process session
18/09 08:34:32:180 Command Routing stopped
18/09 08:34:34:019 Command Routing started
18/09 08:34:34:043 Starting process session
18/09 08:34:34:159 Total 0 instances are started
18/09 08:34:34:160 Total 1 instances are added
18/09 08:35:08:278 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:279 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:280 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:281 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:282 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:283 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:284 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:285 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:286 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:287 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:288 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:289 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:291 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:293 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:294 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:295 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:296 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:297 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:298 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:299 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:300 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:301 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:302 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:303 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:304 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:305 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:306 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:307 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:309 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:310 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:311 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:312 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:314 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:315 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:316 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:317 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:318 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:320 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:146 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:149 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:151 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:153 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:154 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:155 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:156 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:158 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:159 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:161 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:162 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:163 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:164 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:165 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:166 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:169 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:170 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:171 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:172 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:173 84922000514: SMSC - SMSC.SEND_SMS
