23/08 15:24:48:090 Command Logs started
23/08 16:49:03:074 Total 0 instances are started
23/08 16:49:03:503 Total 1 instances are added
23/08 16:49:13:079 0 records were writen to database.
23/08 16:49:23:086 0 records were writen to database.
23/08 16:49:33:091 0 records were writen to database.
23/08 16:49:43:096 0 records were writen to database.
23/08 16:49:53:106 0 records were writen to database.
23/08 16:50:03:117 0 records were writen to database.
23/08 16:50:13:127 0 records were writen to database.
23/08 16:50:23:132 0 records were writen to database.
23/08 16:50:33:143 0 records were writen to database.
23/08 16:50:43:151 0 records were writen to database.
23/08 16:50:53:162 0 records were writen to database.
23/08 16:51:03:168 0 records were writen to database.
23/08 16:51:13:178 0 records were writen to database.
23/08 16:51:23:187 0 records were writen to database.
23/08 16:51:33:195 0 records were writen to database.
23/08 16:51:43:201 0 records were writen to database.
23/08 16:51:53:207 0 records were writen to database.
23/08 16:52:03:213 0 records were writen to database.
23/08 16:52:13:217 0 records were writen to database.
23/08 16:52:23:223 0 records were writen to database.
23/08 16:52:33:231 0 records were writen to database.
23/08 16:52:43:238 0 records were writen to database.
23/08 16:52:53:247 0 records were writen to database.
23/08 16:53:03:250 0 records were writen to database.
23/08 16:53:13:256 0 records were writen to database.
23/08 16:53:23:258 0 records were writen to database.
23/08 16:53:33:263 0 records were writen to database.
23/08 16:53:43:279 0 records were writen to database.
23/08 16:53:53:285 0 records were writen to database.
23/08 16:54:03:287 0 records were writen to database.
23/08 16:54:13:297 0 records were writen to database.
23/08 16:54:23:303 0 records were writen to database.
23/08 16:54:33:314 0 records were writen to database.
23/08 16:54:43:318 0 records were writen to database.
23/08 16:54:53:322 0 records were writen to database.
23/08 16:55:03:327 0 records were writen to database.
23/08 16:55:13:334 0 records were writen to database.
23/08 16:55:23:343 0 records were writen to database.
23/08 16:55:33:346 0 records were writen to database.
23/08 16:55:43:351 0 records were writen to database.
23/08 16:55:53:357 0 records were writen to database.
23/08 16:56:03:364 0 records were writen to database.
23/08 16:56:13:373 0 records were writen to database.
23/08 16:56:23:378 0 records were writen to database.
23/08 16:56:33:384 0 records were writen to database.
23/08 16:56:43:386 0 records were writen to database.
23/08 16:56:53:391 0 records were writen to database.
23/08 16:57:03:402 0 records were writen to database.
23/08 16:57:13:414 0 records were writen to database.
23/08 16:57:23:416 0 records were writen to database.
23/08 16:57:33:425 0 records were writen to database.
23/08 16:57:43:433 0 records were writen to database.
23/08 16:57:53:444 0 records were writen to database.
23/08 16:58:03:447 0 records were writen to database.
23/08 16:58:13:457 0 records were writen to database.
23/08 16:58:23:521 0 records were writen to database.
23/08 16:58:33:524 0 records were writen to database.
23/08 16:58:43:531 0 records were writen to database.
23/08 16:58:53:537 0 records were writen to database.
23/08 16:59:03:546 0 records were writen to database.
23/08 16:59:13:555 0 records were writen to database.
23/08 16:59:23:565 0 records were writen to database.
23/08 16:59:33:575 0 records were writen to database.
23/08 16:59:43:585 0 records were writen to database.
23/08 16:59:53:591 0 records were writen to database.
23/08 17:00:03:600 0 records were writen to database.
23/08 17:00:13:603 0 records were writen to database.
23/08 17:00:23:605 0 records were writen to database.
23/08 17:00:33:608 0 records were writen to database.
23/08 17:00:43:614 0 records were writen to database.
23/08 17:00:53:616 0 records were writen to database.
23/08 17:01:03:626 0 records were writen to database.
23/08 17:01:13:635 0 records were writen to database.
23/08 17:01:23:637 0 records were writen to database.
23/08 17:01:33:646 0 records were writen to database.
23/08 17:01:43:650 0 records were writen to database.
23/08 17:01:53:653 0 records were writen to database.
23/08 17:02:03:656 0 records were writen to database.
23/08 17:02:13:679 0 records were writen to database.
23/08 17:02:23:683 0 records were writen to database.
23/08 17:02:33:685 0 records were writen to database.
23/08 17:02:43:688 0 records were writen to database.
23/08 17:02:53:691 0 records were writen to database.
23/08 17:03:03:694 0 records were writen to database.
23/08 17:03:13:696 0 records were writen to database.
23/08 17:03:23:706 0 records were writen to database.
23/08 17:03:33:714 0 records were writen to database.
23/08 17:03:43:720 0 records were writen to database.
23/08 17:03:53:725 0 records were writen to database.
23/08 17:04:03:731 0 records were writen to database.
23/08 17:04:13:740 0 records were writen to database.
23/08 17:04:23:747 0 records were writen to database.
23/08 17:04:33:757 0 records were writen to database.
23/08 17:04:43:766 0 records were writen to database.
23/08 17:04:53:776 0 records were writen to database.
23/08 17:05:03:781 0 records were writen to database.
23/08 17:05:13:783 0 records were writen to database.
23/08 17:05:23:786 0 records were writen to database.
23/08 17:05:33:792 0 records were writen to database.
23/08 17:05:43:799 0 records were writen to database.
23/08 17:05:53:801 0 records were writen to database.
23/08 17:06:03:803 0 records were writen to database.
23/08 17:06:13:811 0 records were writen to database.
23/08 17:06:23:817 0 records were writen to database.
23/08 17:06:33:827 0 records were writen to database.
23/08 17:06:43:837 0 records were writen to database.
23/08 17:06:53:841 0 records were writen to database.
23/08 17:07:03:852 0 records were writen to database.
23/08 17:07:13:859 0 records were writen to database.
23/08 17:07:23:869 0 records were writen to database.
23/08 17:07:33:873 0 records were writen to database.
23/08 17:07:43:882 0 records were writen to database.
23/08 17:07:53:890 0 records were writen to database.
23/08 17:08:03:899 0 records were writen to database.
23/08 17:08:13:910 0 records were writen to database.
23/08 17:08:23:920 0 records were writen to database.
23/08 17:08:33:928 0 records were writen to database.
23/08 17:08:43:938 0 records were writen to database.
23/08 17:08:53:942 0 records were writen to database.
23/08 17:09:03:949 0 records were writen to database.
23/08 17:09:13:960 0 records were writen to database.
23/08 17:09:23:970 0 records were writen to database.
23/08 17:09:33:976 0 records were writen to database.
23/08 17:09:43:983 0 records were writen to database.
23/08 17:09:53:993 0 records were writen to database.
23/08 17:10:03:999 0 records were writen to database.
23/08 17:10:14:009 0 records were writen to database.
23/08 17:10:24:015 0 records were writen to database.
23/08 17:10:34:025 0 records were writen to database.
23/08 17:10:44:028 0 records were writen to database.
23/08 17:10:54:038 0 records were writen to database.
23/08 17:11:04:042 0 records were writen to database.
23/08 17:11:14:048 0 records were writen to database.
23/08 17:11:24:054 0 records were writen to database.
23/08 17:11:34:057 0 records were writen to database.
23/08 17:11:44:068 0 records were writen to database.
23/08 17:11:54:071 0 records were writen to database.
23/08 17:12:04:078 0 records were writen to database.
23/08 17:12:14:082 0 records were writen to database.
23/08 17:12:24:091 0 records were writen to database.
23/08 17:12:34:093 0 records were writen to database.
23/08 17:12:44:103 0 records were writen to database.
23/08 17:12:54:109 0 records were writen to database.
23/08 17:13:04:120 0 records were writen to database.
23/08 17:13:14:128 0 records were writen to database.
23/08 17:13:24:134 0 records were writen to database.
23/08 17:13:34:139 0 records were writen to database.
23/08 17:13:44:143 0 records were writen to database.
23/08 17:13:54:145 0 records were writen to database.
23/08 17:14:04:152 0 records were writen to database.
23/08 17:14:14:163 0 records were writen to database.
23/08 17:14:24:166 0 records were writen to database.
23/08 17:14:34:174 0 records were writen to database.
23/08 17:14:44:179 0 records were writen to database.
23/08 17:14:54:183 0 records were writen to database.
23/08 17:15:04:194 0 records were writen to database.
23/08 17:15:14:205 0 records were writen to database.
23/08 17:15:24:209 0 records were writen to database.
23/08 17:15:34:213 0 records were writen to database.
23/08 17:15:44:223 0 records were writen to database.
23/08 17:15:54:232 0 records were writen to database.
23/08 17:16:04:244 0 records were writen to database.
23/08 17:16:14:252 0 records were writen to database.
23/08 17:16:24:259 0 records were writen to database.
23/08 17:16:34:263 0 records were writen to database.
23/08 17:16:44:270 0 records were writen to database.
23/08 17:16:54:281 0 records were writen to database.
23/08 17:17:04:284 0 records were writen to database.
23/08 17:17:14:291 0 records were writen to database.
23/08 17:17:24:294 0 records were writen to database.
23/08 17:17:34:303 0 records were writen to database.
23/08 17:17:44:305 0 records were writen to database.
23/08 17:17:54:314 0 records were writen to database.
23/08 17:18:04:325 0 records were writen to database.
23/08 17:18:14:333 0 records were writen to database.
23/08 17:18:24:340 0 records were writen to database.
23/08 17:18:34:344 0 records were writen to database.
23/08 17:18:44:351 0 records were writen to database.
23/08 17:18:54:359 0 records were writen to database.
23/08 17:19:04:362 0 records were writen to database.
23/08 17:19:14:369 0 records were writen to database.
23/08 17:19:24:372 0 records were writen to database.
23/08 17:19:34:374 0 records were writen to database.
23/08 17:19:44:381 0 records were writen to database.
23/08 17:19:54:387 0 records were writen to database.
23/08 17:20:04:396 0 records were writen to database.
23/08 17:20:14:400 0 records were writen to database.
23/08 17:20:24:410 0 records were writen to database.
23/08 17:20:34:417 0 records were writen to database.
23/08 17:20:44:420 0 records were writen to database.
23/08 17:20:54:422 0 records were writen to database.
23/08 17:21:04:427 0 records were writen to database.
23/08 17:21:14:435 0 records were writen to database.
23/08 17:21:24:442 0 records were writen to database.
23/08 17:21:34:445 0 records were writen to database.
23/08 17:21:44:449 0 records were writen to database.
23/08 17:21:54:457 0 records were writen to database.
23/08 17:22:04:466 0 records were writen to database.
23/08 17:22:14:477 0 records were writen to database.
23/08 17:22:24:483 0 records were writen to database.
23/08 17:22:34:490 0 records were writen to database.
23/08 17:22:44:492 0 records were writen to database.
23/08 17:22:54:497 0 records were writen to database.
23/08 17:23:04:503 0 records were writen to database.
23/08 17:23:14:513 0 records were writen to database.
23/08 17:23:24:521 0 records were writen to database.
23/08 17:23:34:529 0 records were writen to database.
23/08 17:23:44:533 0 records were writen to database.
23/08 17:23:54:542 0 records were writen to database.
23/08 17:24:04:546 0 records were writen to database.
23/08 17:24:14:553 0 records were writen to database.
23/08 17:24:24:557 0 records were writen to database.
23/08 17:24:34:563 0 records were writen to database.
23/08 17:24:44:568 0 records were writen to database.
23/08 17:24:54:576 0 records were writen to database.
23/08 17:25:04:583 0 records were writen to database.
23/08 17:25:14:593 0 records were writen to database.
23/08 17:25:24:595 0 records were writen to database.
23/08 17:25:34:598 0 records were writen to database.
23/08 17:25:44:603 0 records were writen to database.
23/08 17:25:54:612 0 records were writen to database.
23/08 17:26:04:622 0 records were writen to database.
23/08 17:26:14:625 0 records were writen to database.
23/08 17:26:24:637 0 records were writen to database.
23/08 17:26:34:645 0 records were writen to database.
23/08 17:26:44:650 0 records were writen to database.
23/08 17:26:54:656 0 records were writen to database.
23/08 17:27:04:665 0 records were writen to database.
23/08 17:27:14:667 0 records were writen to database.
23/08 17:27:24:673 0 records were writen to database.
23/08 17:27:34:680 0 records were writen to database.
23/08 17:27:44:684 0 records were writen to database.
23/08 17:27:54:691 0 records were writen to database.
23/08 17:28:04:695 0 records were writen to database.
23/08 17:28:14:697 0 records were writen to database.
23/08 17:28:24:703 0 records were writen to database.
23/08 17:28:34:707 0 records were writen to database.
23/08 17:28:44:716 0 records were writen to database.
23/08 17:28:54:720 0 records were writen to database.
23/08 17:29:04:726 0 records were writen to database.
23/08 17:29:14:730 0 records were writen to database.
23/08 17:29:24:738 0 records were writen to database.
23/08 17:29:34:743 0 records were writen to database.
23/08 17:29:44:747 0 records were writen to database.
23/08 17:29:54:753 0 records were writen to database.
23/08 17:30:04:760 0 records were writen to database.
23/08 17:30:14:766 0 records were writen to database.
23/08 17:30:24:768 0 records were writen to database.
23/08 17:30:34:771 0 records were writen to database.
23/08 17:30:44:780 0 records were writen to database.
23/08 17:30:54:783 0 records were writen to database.
23/08 17:31:04:785 0 records were writen to database.
23/08 17:31:14:795 0 records were writen to database.
23/08 17:31:24:803 0 records were writen to database.
23/08 17:31:34:806 0 records were writen to database.
23/08 17:31:44:815 0 records were writen to database.
23/08 17:31:54:825 0 records were writen to database.
23/08 17:32:04:836 0 records were writen to database.
23/08 17:32:14:842 0 records were writen to database.
23/08 17:32:24:845 0 records were writen to database.
23/08 17:32:34:853 0 records were writen to database.
23/08 17:32:44:861 0 records were writen to database.
23/08 17:32:54:867 0 records were writen to database.
23/08 17:33:04:869 0 records were writen to database.
23/08 17:33:14:873 0 records were writen to database.
23/08 17:33:24:877 0 records were writen to database.
23/08 17:33:34:887 0 records were writen to database.
23/08 17:33:44:895 0 records were writen to database.
23/08 17:33:54:898 0 records were writen to database.
23/08 17:34:04:909 0 records were writen to database.
23/08 17:34:14:915 0 records were writen to database.
23/08 17:34:24:919 0 records were writen to database.
23/08 17:34:34:929 0 records were writen to database.
23/08 17:34:44:933 0 records were writen to database.
23/08 17:34:54:944 0 records were writen to database.
23/08 17:35:04:951 0 records were writen to database.
23/08 17:35:14:960 0 records were writen to database.
23/08 17:35:24:964 0 records were writen to database.
23/08 17:35:34:967 0 records were writen to database.
23/08 17:35:44:973 0 records were writen to database.
23/08 17:35:54:979 0 records were writen to database.
23/08 17:36:04:985 0 records were writen to database.
23/08 17:36:14:994 0 records were writen to database.
23/08 17:36:25:008 0 records were writen to database.
23/08 17:36:35:012 0 records were writen to database.
