11/09 09:35:50:065 Command Logs started
11/09 09:35:50:180 Starting process session
11/09 09:35:50:571 Total 0 instances are started
11/09 09:35:50:572 Total 1 instances are added
11/09 09:36:30:631 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:36:30:632 Consumer was closed, reconnect.
11/09 09:36:30:736 Total 0 instances are started
11/09 09:36:30:737 Total 1 instances are added
11/09 09:36:51:808 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:36:51:809 Consumer was closed, reconnect.
11/09 09:36:51:912 Total 0 instances are started
11/09 09:36:51:913 Total 1 instances are added
11/09 09:37:12:939 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:37:12:939 Consumer was closed, reconnect.
11/09 09:37:13:044 Total 0 instances are started
11/09 09:37:13:045 Total 1 instances are added
11/09 09:38:09:375 Command Logs started
11/09 09:38:09:784 Starting process session
11/09 09:38:09:892 Total 0 instances are started
11/09 09:38:09:893 Total 1 instances are added
11/09 10:08:39:054 0 records were writen to database.
11/09 10:08:49:060 0 records were writen to database.
11/09 10:08:59:066 0 records were writen to database.
11/09 10:09:09:076 0 records were writen to database.
11/09 10:09:19:090 0 records were writen to database.
11/09 10:09:29:096 0 records were writen to database.
11/09 10:09:39:100 0 records were writen to database.
11/09 10:09:49:106 0 records were writen to database.
11/09 10:09:59:122 1 records were writen to database.
11/09 10:10:09:129 0 records were writen to database.
11/09 10:10:19:140 0 records were writen to database.
11/09 10:10:29:147 0 records were writen to database.
11/09 10:10:39:152 0 records were writen to database.
11/09 10:10:49:162 0 records were writen to database.
11/09 10:10:59:171 0 records were writen to database.
11/09 10:11:09:179 0 records were writen to database.
11/09 10:11:19:181 0 records were writen to database.
11/09 10:11:29:190 0 records were writen to database.
11/09 10:11:39:200 0 records were writen to database.
11/09 10:11:49:208 0 records were writen to database.
11/09 10:11:59:212 0 records were writen to database.
11/09 10:12:09:217 0 records were writen to database.
11/09 10:12:19:223 0 records were writen to database.
11/09 10:12:29:232 0 records were writen to database.
11/09 10:12:39:235 0 records were writen to database.
11/09 10:12:49:243 0 records were writen to database.
11/09 10:12:59:244 0 records were writen to database.
11/09 10:13:09:251 0 records were writen to database.
11/09 10:13:19:258 0 records were writen to database.
11/09 10:13:29:267 0 records were writen to database.
11/09 10:13:39:274 0 records were writen to database.
11/09 10:13:49:283 0 records were writen to database.
11/09 10:13:59:307 1 records were writen to database.
11/09 10:14:09:312 0 records were writen to database.
11/09 10:14:19:322 0 records were writen to database.
11/09 10:14:29:328 0 records were writen to database.
11/09 10:14:39:339 0 records were writen to database.
11/09 10:14:49:349 0 records were writen to database.
11/09 10:14:59:360 0 records were writen to database.
